date,day,name,start,end,venue,price,arena_night,description
2026-08-26,Wed,Freshers' Week Instagram Live Q&A,3pm,4pm,Instagram Live,Free,no,Answering all your Freshers' Week questions
2026-08-28,Fri,International Students Instagram Live Q&A,3pm,4pm,Instagram Live,Free,no,Guidance for international attendees
2026-09-03,Thu,Sports & Societies Instagram Live Q&A,3pm,4pm,Instagram Live,Free,no,Answering all your sports and societies questions
2026-09-08,Tue,Postgraduate Students Live Q&A,2pm,3pm,Instagram Live,Free,no,Postgraduate-focused guidance
2026-09-18,Fri,Feel Good Freshers,10am,3pm,"Art Studio, The Edge L2",Free,no,Creative activities in calm space
2026-09-18,Fri,Show your Colours T-Shirt Collection,3pm,6pm,SU Level 2,Free,no,Merchandise pickup
2026-09-19,Sat,Feel Good Freshers,10am,3pm,"Art Studio, The Edge L2",Free,no,Creative activities in calm space
2026-09-19,Sat,UniLife Talk (multiple sessions),10am,5:30pm,University Hall,Free,no,Residential orientation talks
2026-09-19,Sat,Show your Colours T-Shirt Collection,12pm,6pm,SU Level 2,Free,no,Merchandise pickup
2026-09-19,Sat,City Tours,2pm,6pm,Green Park House,Free,no,Bath city exploration
2026-09-19,Sat,Arrivals Party,10pm,2am,FW26 Arena,Ticketed,yes,Over 2000 students will party together — first taste of a night out
2026-09-20,Sun,City Tours,10am,2pm,Green Park House,Free,no,Bath city exploration
2026-09-20,Sun,Feel Good Freshers,10am,3pm,"Art Studio, The Edge L2",Free,no,Creative activities in calm space
2026-09-20,Sun,UniLife Talks (multiple sessions),10am,3:30pm,University Hall,Free,no,Residential orientation talks
2026-09-20,Sun,Postgraduate Mixer,11am,12:30pm,"Founders Hall, FW26",Free,no,Network with postgrads
2026-09-20,Sun,Show your Colours T-Shirt Collection,12pm,6pm,SU Level 2,Free,no,Merchandise pickup
2026-09-20,Sun,UG Departmental Mixers (multiple),1pm,4:45pm,Various,Free,no,Meet academic community
2026-09-20,Sun,Postgraduate City Tours,3pm,5:30pm,Green Park House,Free,no,Bath city exploration
2026-09-20,Sun,Boardgames and Biscuits,7pm,10pm,The Edge Event Space,Free,no,Social gaming activity
2026-09-20,Sun,Show your Colours - Arena Night,10pm,2am,FW26 Arena,Ticketed,yes,Complimentary t-shirt representing hall colours — light up the night
2026-09-21,Mon,be pART of the ART,10am,3pm,The Edge Event Space,Free,no,Creative community mural
2026-09-21,Mon,City Tours,10am,3:30pm,Green Park House,Free,no,Bath city exploration
2026-09-21,Mon,Information Point,10am,4pm,SU Level 2,Free,no,Settlement support services
2026-09-21,Mon,Slacklining,11am,2pm,Chancellors' Green,Free,no,Balance activity
2026-09-21,Mon,Campus Monopoly,12pm,2:30pm,Chancellors' Green,Free,no,Action-packed game with prizes
2026-09-21,Mon,The Merchandise Store,12pm,4pm,SU Level 1,Free,no,Apparel shopping
2026-09-21,Mon,UG Departmental Mixers,1pm,5:45pm,Various,Free,no,Meet academic community
2026-09-21,Mon,Yoga - Beginner Friendly,2pm,3pm,The Edge Dance Studio L3,Free,no,Beginner yoga
